task_clock,context_switches,cpu_migrations,page_faults,time_elapsed,size,threads
2.633867,0.0,0.0,83,0.001801202,32,2
3.902206,0.0,0.0,85,0.002065876,32,3
6.734707,0.0,0.0,88,0.002662057,32,4
2.88937,12.0,4.0,90,0.001608177,32,5
2.902556,16.0,5.0,92,0.001637837,32,6
3.033501,21.0,6.0,94,0.001698427,32,7
3.207356,25.0,7.0,97,0.001851507,32,8
7.780107,0.0,0.0,111,0.008000927,64,1
8.096165,0.0,0.0,114,0.004605323,64,2
8.826412,0.0,0.0,115,0.003640638,64,3
15.658403,1.0,0.0,118,0.005215521,64,4
8.380256,12.0,5.0,121,0.003141106,64,5
8.609352,17.0,6.0,122,0.003269563,64,6
8.628786,21.0,6.0,124,0.003291936,64,7
8.777961,25.0,7.0,127,0.003392325,64,8
29.240762,0.0,0.0,231,0.029474247,128,1
29.879959,0.0,0.0,233,0.015730546,128,2
31.690928,0.0,0.0,235,0.011594188,128,3
35.317951,1.0,0.0,239,0.01018823,128,4
30.884364,14.0,5.0,240,0.009523839,128,5
31.145956,18.0,6.0,243,0.009610261,128,6
31.257534,22.0,8.0,245,0.009698636,128,7
31.292996,26.0,8.0,246,0.00973799,128,8
115.682732,0.0,0.0,712,0.115947734,256,1
118.660332,0.0,0.0,714,0.061220005,256,2
123.892751,0.0,0.0,716,0.043809301,256,3
129.86358,4.0,0.0,719,0.03532822,256,4
120.527959,18.0,4.0,722,0.034804197,256,5
120.322683,24.0,6.0,723,0.034668315,256,6
120.674586,30.0,6.0,725,0.034885789,256,7
121.068367,34.0,7.0,727,0.035067474,256,8
460.250612,1.0,0.0,2633,0.46064031,512,1
470.5861,1.0,0.0,2634,0.241144682,512,2
486.115219,1.0,0.0,2637,0.169805724,512,3
505.628558,10.0,0.0,2640,0.135558862,512,4
477.771434,28.0,5.0,2642,0.134951696,512,5
477.725515,41.0,7.0,2643,0.135276476,512,6
477.527488,53.0,7.0,2645,0.134891199,512,7
477.908597,59.0,9.0,2648,0.135026324,512,8
1844.518687,6.0,1.0,10312,1.852657995,1024,1
1859.139476,7.0,0.0,10314,0.966149866,1024,2
1906.123192,8.0,0.0,10316,0.680763209,1024,3
1938.440471,12.0,1.0,10320,0.534450123,1024,4
1899.921154,59.0,11.0,10321,0.533293111,1024,5
1906.497741,100.0,17.0,10324,0.537280903,1024,6
1887.215853,139.0,13.0,10325,0.533065956,1024,7
1905.265735,165.0,14.0,10327,0.536924926,1024,8
7367.947258,25.0,1.0,41033,7.395079584,2048,1
7380.183829,29.0,1.0,41034,3.841026129,2048,2
7529.179701,30.0,1.0,41037,2.703372275,2048,3
7641.364899,40.0,2.0,41039,2.133879464,2048,4
7555.358571,197.0,32.0,41042,2.109906374,2048,5
7590.737521,353.0,43.0,41044,2.128345808,2048,6
7584.954118,501.0,31.0,41046,2.12580581,2048,7
7587.332534,653.0,13.0,41047,2.123044364,2048,8
29364.622629,106.0,1.0,163912,29.465220352,4096,1
29447.469962,92.0,1.0,163914,15.306280462,4096,2
30019.082744,112.0,1.0,163916,10.760574146,4096,3
30299.008173,126.0,2.0,163919,8.414332275,4096,4
30266.419038,779.0,122.0,163921,8.425458803,4096,5
30285.510916,1366.0,161.0,163924,8.425847532,4096,6
30231.996247,1966.0,102.0,163925,8.406784946,4096,7
30254.913428,2549.0,20.0,163927,8.418805626,4096,8
117027.101528,326.0,1.0,655432,117.486718413,8192,1
117643.905033,353.0,1.0,655434,61.277625896,8192,2
120104.104592,372.0,1.0,655436,43.206057441,8192,3
120948.740063,409.0,15.0,655439,33.582440995,8192,4
120722.15698,2870.0,461.0,655441,33.555507301,8192,5
119905.374144,5232.0,628.0,655443,33.369789547,8192,6
119899.658786,7738.0,362.0,655446,33.349029735,8192,7
119966.877221,10004.0,15.0,655447,33.421903346,8192,8
0.624908,0.0,0.0,74,0.000833602,16,1
0.820776,0.0,0.0,77,0.000871238,16,2
2.106612,0.0,0.0,79,0.00145678,16,3
4.201405,0.0,0.0,81,0.001929163,16,4
1.102397,13.0,3.0,84,0.001128557,16,5
1.227932,16.0,4.0,86,0.001221873,16,6
1.240638,21.0,6.0,89,0.001226623,16,7
1.28673,25.0,6.0,90,0.00124404,16,8
0.863649,0.0,0.0,81,0.001061655,32,1
1.112528,0.0,0.0,84,0.001036193,32,2
1.765046,0.0,0.0,86,0.001262507,32,3
3.886683,0.0,0.0,88,0.001828665,32,4
1.364181,13.0,4.0,90,0.001226642,32,5
1.418915,16.0,5.0,92,0.00125398,32,6
1.471892,20.0,6.0,95,0.001296356,32,7
1.559179,25.0,7.0,96,0.001362116,32,8
1.964161,0.0,0.0,112,0.002390692,64,1
2.306722,0.0,0.0,113,0.00171618,64,2
2.977408,0.0,0.0,115,0.00171928,64,3
6.770596,0.0,0.0,118,0.002765897,64,4
2.456644,12.0,4.0,120,0.00167051,64,5
2.543425,16.0,5.0,122,0.0017254,64,6
2.580599,20.0,5.0,124,0.001745882,64,7
2.695126,25.0,8.0,126,0.001843286,64,8
5.73961,0.0,0.0,231,0.005953087,128,1
6.727855,0.0,0.0,233,0.004164623,128,2
7.680651,0.0,0.0,235,0.003567102,128,3
10.366395,0.0,0.0,238,0.003899727,128,4
6.876187,13.0,5.0,240,0.003481455,128,5
6.802852,17.0,6.0,243,0.003445807,128,6
6.972649,21.0,7.0,244,0.003556825,128,7
7.121408,25.0,8.0,247,0.003654524,128,8
21.158794,0.0,0.0,712,0.021409167,256,1
23.647136,0.0,0.0,714,0.013677603,256,2
